0 fork 1
0 fork 2
1 run 10
1 run 10
1 keyboardread
1 diskread 20
1 run 90
1 up 0
1 run 70
1 up 1
1 up 0
1 run 50
1 fork 3
1 run 50
1 run 30
1 run 30
1 run 90
2 run 90
2 keyboardread
2 up 2
2 run 30
2 up 1
2 diskread 10
2 up 0
2 run 10
2 run 90
2 run 50
2 diskwrite
2 run 30
2 diskread 10
2 diskread 20
2 run 10
3 run 10
3 run 50
3 fork 4
3 diskread 10
3 run 30
3 keyboardread
3 keyboardread
3 run 90
3 keyboardread
3 diskread 20
3 keyboardread
3 run 90
3 diskread 20
3 up 0
3 keyboardread
4 run 30
4 run 70
4 up 1
4 run 10
4 run 70
4 run 30
4 run 50
4 run 70
4 run 90
4 keyboardread
4 run 50
4 down 0
4 diskread 10
4 run 70
4 diskwrite
