0 fork 1
0 fork 2
1 run 30
1 run 90
1 run 70
1 run 10
1 run 90
1 run 90
1 run 50
1 run 30
1 fork 3
1 run 30
1 run 10
1 run 30
1 run 10
1 fork 4
1 run 10
2 keyboardread
2 diskwrite
2 up 1
2 run 30
2 run 90
2 down 2
2 run 90
2 run 90
2 up 0
2 keyboardread
2 run 90
2 keyboardread
2 diskwrite
2 run 90
2 run 30
3 diskwrite
3 keyboardread
3 keyboardread
3 diskread 20
3 keyboardread
3 diskwrite
3 keyboardread
3 keyboardread
3 diskread 10
3 diskread 10
3 keyboardread
3 run 50
3 run 30
3 run 70
3 diskread 20
4 fork 5
4 run 30
4 down 0
4 keyboardread
4 run 30
4 down 1
4 run 10
4 run 90
4 run 70
4 run 70
4 diskread 20
4 run 50
4 run 90
4 run 10
4 run 90
5 run 70
5 up 1
5 diskread 10
5 run 90
5 run 10
5 up 0
5 run 50
5 run 10
5 keyboardread
5 diskread 10
5 run 30
5 diskwrite
5 run 50
5 diskread 10
5 run 10
